No,actBeginTm,actEndTm,actPlace,adultPosblAt,gugunCd,nanmmbyNm,noticeBgnde,noticeEndde,progrmBgnde,progrmEndde,progrmRegistNo,progrmSj,progrmSttusSe,sidoCd,srvcClCode,url,yngbgsPosblAt,gugunNm,sidoNm
3477,14,18,서울특별시 구로구 고척로16길 72(2층),Y,3160000,사단법인 따뜻한마음,20231004,20231130,20231101,20231130,3042557,[사단법인 따뜻한마음] 11월 초등학교 방과 후 돌봄,2,6110000,교육 > 방과후 교육,https://1365.go.kr/vols/P9210/partcptn/timeCptn.do?type=show&progrmRegistNo=3042557,N,구로구,서울특별시
3478,15,18,강서지역 아동복지센터내 아이사랑 방과후교실,Y,3150000,강서지역아동복지센터,20230901,20231130,20230901,20231130,3025489,방과후교실 학습지도봉사,2,6110000,교육 > 방과후 교육,https://1365.go.kr/vols/P9210/partcptn/timeCptn.do?type=show&progrmRegistNo=3025489,N,강서구,서울특별시
3479,13,18,양천구3호점우리동네키움센터,Y,3140000,양천구3호점우리동네키움센터,20230817,20231130,20230901,20231130,3022299,초등학생 학습지도 및 보드게임,3,6110000,교육 > 방과후 교육,https://1365.go.kr/vols/P9210/partcptn/timeCptn.do?type=show&progrmRegistNo=3022299,N,양천구,서울특별시
3480,16,18,양천구 1호점 우리동네키움센터 활동실,Y,3140000,양천1호점 우리동네키움센터,20230901,20231130,20230901,20231130,3027611,프로그램 보조 진행 및  진행,2,6110000,교육 > 방과후 교육,https://1365.go.kr/vols/P9210/partcptn/timeCptn.do?type=show&progrmRegistNo=3027611,Y,양천구,서울특별시
3481,19,21,온라인 줌(ZOOM),Y,3130000,사단법인 사사로,20230906,20231205,20230912,20231211,3031492,[어린이교육복지단체 사사로] 저소득층 가정 영어 또는 수학 선생님 모집 (온라인 줌 수업),2,6110000,교육 > 방과후 교육,https://1365.go.kr/vols/P9210/partcptn/timeCptn.do?type=show&progrmRegistNo=3031492,N,마포구,서울특별시
3482,14,18,마포구9호점 우리동네키움센터,Y,3130000,마포구9호점 우리동네키움센터,20231016,20231219,20231101,20231226,3039211,초등생 숙제지도 및 돌봄 ,2,6110000,교육 > 방과후 교육,https://1365.go.kr/vols/P9210/partcptn/timeCptn.do?type=show&progrmRegistNo=3039211,Y,마포구,서울특별시
3483,14,18,은평11호점 우리동네키움센터,Y,3110000,은평11호점 우리동네키움센터,20230901,20231130,20230901,20231130,3029382,방과후 아동돌봄 및 놀이지도,2,6110000,교육 > 방과후 교육,https://1365.go.kr/vols/P9210/partcptn/timeCptn.do?type=show&progrmRegistNo=3029382,N,은평구,서울특별시
3484,16,17,동명여고 신관2층 ,N,3110000,은평구청시민교육과,20230907,20231130,20230907,20231130,3058783,2023 내가 그린 공감학교 영상캠페인 및 홍보동영상 제작,3,6110000,교육 > 방과후 교육,https://1365.go.kr/vols/P9210/partcptn/timeCptn.do?type=show&progrmRegistNo=3058783,Y,은평구,서울특별시
3485,11,18,구립공릉행복지역아동센터,Y,3100000,구립공릉행복지역아동센터(노원교육복지재단),20231115,20231215,20231115,20240215,3061667,(구립공릉행복지역아동센터)초등학생 기초학습지도 및 놀이지도(활동보조),2,6110000,교육 > 방과후 교육,https://1365.go.kr/vols/P9210/partcptn/timeCptn.do?type=show&progrmRegistNo=3061667,N,노원구,서울특별시
3486,16,20,기쁨지역아동센터,Y,3340000,기쁨지역아동센터,20231113,20240131,20231121,20240131,3060947,초등저학년 학습지도 및 센터청소 자원봉사모집,2,6260000,교육 > 방과후 교육,https://1365.go.kr/vols/P9210/partcptn/timeCptn.do?type=show&progrmRegistNo=3060947,N,사하구,부산광역시
